avg_monthly_hrs,filed_complaint,last_evaluation,n_projects,recently_promoted,satisfaction,status,tenure,last_evaluation_missing,underperformer,unhappy,overachiever,department_IT,department_Missing,department_admin,department_engineering,department_finance,department_management,department_marketing,department_procurement,department_product,department_sales,department_support,salary_high,salary_low,salary_medium
221,0.0,0.932867640125,4,0.0,0.829896195856,1,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
232,0.0,0.0,3,0.0,0.83454379486,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
184,0.0,0.7888298419059999,3,0.0,0.83498761146,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
206,0.0,0.5756879305479999,4,0.0,0.42476428845499997,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
249,0.0,0.8452174722229999,3,0.0,0.779043096207,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
140,0.0,0.589097371097,4,0.0,0.660019904653,0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
121,1.0,0.6253988297559999,3,0.0,0.8355705513320001,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
150,0.0,0.644585844252,4,0.0,0.7966833950409999,0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
215,1.0,0.524113534303,3,0.0,0.715005031778,0,7.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
269,0.0,0.909364329867,5,0.0,0.994037397572,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
147,0.0,0.0,2,0.0,0.403551807833,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
188,1.0,0.925479635028,6,0.0,0.48140860191299994,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
191,0.0,0.946723810178,5,0.0,0.925337129205,0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
290,0.0,0.770247874835,6,0.0,0.09034279289930001,1,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
253,0.0,0.579966136579,5,0.0,0.627725954785,0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
258,0.0,0.8375025132100001,5,0.0,0.849667273388,1,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
151,0.0,0.452832173339,4,0.0,0.658608148415,0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
252,0.0,0.9191962922210001,5,0.0,0.893364991385,1,5.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
276,0.0,0.570038733441,4,0.0,0.38226020148100004,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
